,Age,Senior Citizen,Married,Tenure in Months,Monthly Charge,Contract,Satisfaction Score,Streaming TV,Streaming Movies,Streaming Music,Internet Type,Under 30,CLTV,Churn
1281,52,0,0,2,69.65,Month-to-Month,2,0,0,0,Fiber Optic,0,2323,1
2233,72,1,0,1,70.55,Month-to-Month,3,0,0,0,Fiber Optic,0,2146,1
2288,78,1,0,33,83.85,Month-to-Month,2,0,0,0,Fiber Optic,0,2583,1
1680,78,1,1,56,72.6,Two Year,4,1,1,0,DSL,0,6357,0
745,34,0,0,16,38.9,Month-to-Month,3,1,0,0,DSL,0,3300,0
3144,39,0,0,1,46.3,Month-to-Month,1,0,0,0,DSL,0,3017,1
1340,27,0,0,18,35.0,Month-to-Month,2,0,1,1,DSL,1,2649,1
3731,62,0,0,69,60.05,Two Year,3,1,1,1,Cable,0,5388,0
91,77,1,1,12,80.45,Month-to-Month,2,0,1,0,Fiber Optic,0,5374,1
758,45,0,0,29,68.85,Month-to-Month,1,0,1,1,DSL,0,5449,1
3724,38,0,0,53,95.95,One Year,3,0,1,1,Fiber Optic,0,4523,0
1584,39,0,0,43,75.35,Month-to-Month,5,0,0,0,Fiber Optic,0,4898,0
2358,73,1,1,29,84.3,Two Year,3,0,1,1,Fiber Optic,0,2217,0
2213,39,0,1,31,91.15,Month-to-Month,2,0,1,1,Cable,0,5219,1
3171,21,0,1,71,25.35,Two Year,5,0,0,0,No Type,1,5747,0
3927,51,0,0,70,114.95,Two Year,3,1,1,1,Fiber Optic,0,4511,0
2327,61,0,1,3,75.85,Month-to-Month,2,0,0,0,Fiber Optic,0,4062,1
1885,34,0,0,12,78.95,Month-to-Month,1,0,0,0,Fiber Optic,0,5806,1
2221,27,0,0,1,84.3,Month-to-Month,1,1,0,0,Fiber Optic,1,2172,1
3204,28,0,1,72,19.4,Two Year,3,0,0,0,No Type,1,5398,0
2422,26,0,0,20,98.55,Month-to-Month,3,1,1,1,Fiber Optic,1,3300,0
2797,59,0,1,43,92.55,Month-to-Month,3,0,1,1,Fiber Optic,0,3853,0
3769,47,0,1,63,102.4,Month-to-Month,4,1,1,1,Fiber Optic,0,5096,0
4029,25,0,1,25,71.05,Month-to-Month,4,0,1,1,DSL,1,5620,0
1173,23,0,1,51,34.2,Two Year,4,0,0,1,Cable,1,6404,0
692,35,0,1,58,110.65,One Year,3,1,1,1,Fiber Optic,0,4761,0
2912,60,0,0,24,51.15,Month-to-Month,3,0,0,0,DSL,0,5796,0
1895,40,0,1,51,23.95,One Year,5,0,0,0,No Type,0,5895,0
889,56,0,0,16,19.3,One Year,3,0,0,0,No Type,0,2870,0
2616,34,0,0,38,95.0,One Year,5,1,0,0,Fiber Optic,0,4741,0
1499,33,0,1,27,48.7,One Year,3,0,0,0,DSL,0,3560,0
1148,55,0,1,38,80.3,One Year,1,1,1,1,DSL,0,2071,1
1681,62,0,1,70,97.55,Month-to-Month,4,1,0,0,Fiber Optic,0,4551,0
1997,77,1,0,18,20.35,One Year,4,0,0,0,No Type,0,4713,0
2543,61,0,1,24,74.4,One Year,3,1,1,1,Cable,0,4310,0
2549,19,0,1,48,69.7,One Year,3,1,0,0,DSL,1,3442,0
638,62,0,0,1,78.95,Month-to-Month,2,1,0,0,Fiber Optic,0,2038,1
2190,60,0,0,32,30.15,One Year,4,0,0,0,DSL,0,3585,0
3566,36,0,0,16,53.9,Month-to-Month,3,0,0,0,DSL,0,5091,1
3154,21,0,0,1,19.9,Month-to-Month,5,0,0,0,No Type,1,5057,0
1414,36,0,1,34,78.3,Month-to-Month,3,1,0,0,Fiber Optic,0,2777,1
1237,35,0,1,60,94.15,One Year,4,1,0,0,Fiber Optic,0,6399,0
3627,35,0,1,15,25.2,Two Year,4,0,0,0,No Type,0,4411,0
1415,27,0,1,14,50.2,Month-to-Month,3,0,0,0,DSL,1,4253,0
2164,29,0,0,1,24.7,Month-to-Month,5,0,0,0,Cable,1,3065,0
2915,28,0,1,2,70.7,Month-to-Month,2,0,0,0,Cable,1,4559,1
2999,66,1,1,72,78.5,Two Year,3,0,0,0,Fiber Optic,0,6072,0
3071,64,0,0,8,74.85,Month-to-Month,4,0,0,0,Fiber Optic,0,5514,0
1448,32,0,0,1,20.45,Month-to-Month,5,0,0,0,No Type,0,2664,0
